,Label,WORD,feature_log_prob_ when fake,feature_log_prob_ when true
0,0,trump,-4.605105809952791,-5.191649510624691
1,0,you,-5.491433260606124,-7.361905573079516
2,0,president,-5.612555800246101,-5.641244744814474
3,0,their,-5.841598873078631,-6.1640220536181936
4,0,what,-5.986386638880962,-6.913543641705878
5,0,people,-5.990632929762414,-6.236278389781363
6,0,all,-6.00247916853958,-6.744955065564936
7,0,she,-6.022403974338705,-6.702250261426478
8,0,her,-6.04806497884829,-6.855221813893744
9,0,or,-6.057013819954255,-6.30955500222748
10,0,out,-6.062209187628184,-6.634478026871456
11,0,been,-6.082613675606471,-5.970586399480288
12,0,will,-6.103332421662708,-5.760612337733681
13,0,when,-6.107661673026737,-6.666564984763214
14,0,more,-6.108552045929185,-6.176576161221389
15,0,were,-6.1300485689209125,-5.9865204110599795
16,0,had,-6.146797841973358,-5.702190123504284
17,0,if,-6.152249975425692,-6.523206409162352
18,0,so,-6.1651276996304585,-7.074869537215873
19,0,our,-6.1957557666274905,-7.002702182787425
20,0,just,-6.203684087720614,-7.571832790364185
21,0,up,-6.2416222536183295,-6.536923736912032
22,0,there,-6.247618316744559,-6.5006814422541765
23,0,after,-6.256486699525437,-5.970265155621314
24,0,donald,-6.2646531847325,-6.760690147168832
25,0,news,-6.292634421624333,-7.222739092851123
26,0,him,-6.296389287240224,-7.003965606834196
27,0,no,-6.300023452354445,-6.586472708092101
28,0,can,-6.336411073551739,-6.954461884602017
29,0,twitter,-6.338931377322098,-8.096994810311017
30,0,like,-6.374027704055438,-7.552580183707645
31,0,which,-6.386005644514569,-5.917040150748953
32,0,us,-6.404994495742267,-8.050670738636779
33,0,obama,-6.466134077145755,-7.4790752603186395
34,0,also,-6.480405144330572,-6.220313969910581
35,0,white,-6.48347833720624,-6.823964481415773
36,0,now,-6.488024537599999,-7.138503723946487
37,0,house,-6.492101184093764,-6.2443572017090805
38,0,new,-6.501293632277928,-6.283297430331947
39,0,do,-6.526340859187712,-7.143267117026943
40,0,over,-6.534319850674276,-6.349389179124447
41,0,because,-6.545632964134072,-7.215572208871022
42,0,time,-6.563372559765135,-7.025876287999266
43,0,how,-6.580182652143238,-7.45100927154526
44,0,media,-6.580361112034851,-7.477914157140299
45,0,even,-6.602923209777112,-7.686871030455205
46,0,into,-6.622276868871314,-6.685692495241124
47,0,them,-6.631062793226258,-6.988908860655089
48,0,other,-6.673051132952491,-6.557859123731239
49,0,than,-6.677368251117475,-6.6039938571421395
50,0,com,-6.7044777446482495,-10.922693357864748
51,0,re,-6.705690846293177,-7.595370875286852
52,0,only,-6.707715958366396,-7.19088503933137
53,0,here,-6.715244735407973,-8.514111587969992
54,0,american,-6.734214376400262,-7.605536563748686
55,0,any,-6.742575629124945,-6.732074893040528
56,0,being,-6.7631468136503194,-7.315221178386144
57,0,first,-6.775869357224408,-6.8483969076131785
58,0,against,-6.795151286773859,-6.562726441255599
59,0,some,-6.798475389557696,-6.480898082595111
60,0,clinton,-6.807170127200033,-8.519851661131051
61,0,during,-6.824334053530919,-7.037201016846101
62,0,then,-6.832109075547285,-7.757218309723662
63,0,while,-6.832568317805643,-7.056048163492717
64,0,get,-6.853221099674355,-7.672318865937176
65,0,state,-6.8553335285786545,-6.033164798616827
66,0,2017,-6.856038664346501,-8.859288815094729
67,1,trump,-4.605105809952791,-5.191649510624691
68,1,reuters,-10.105473085699554,-5.61186368859229
69,1,president,-5.612555800246101,-5.641244744814474
70,1,had,-6.146797841973358,-5.702190123504284
71,1,will,-6.103332421662708,-5.760612337733681
72,1,its,-6.887567428261319,-5.848884109592717
73,1,which,-6.386005644514569,-5.917040150748953
74,1,government,-7.06819180923269,-5.920762504398638
75,1,after,-6.256486699525437,-5.970265155621314
76,1,been,-6.082613675606471,-5.970586399480288
77,1,were,-6.1300485689209125,-5.9865204110599795
78,1,state,-6.8553335285786545,-6.033164798616827
79,1,their,-5.841598873078631,-6.1640220536181936
80,1,more,-6.108552045929185,-6.176576161221389
81,1,united,-7.125316023931035,-6.208505714624412
82,1,also,-6.480405144330572,-6.220313969910581
83,1,states,-6.960537414899486,-6.235943184884233
84,1,people,-5.990632929762414,-6.236278389781363
85,1,house,-6.492101184093764,-6.2443572017090805
86,1,year,-6.965246999742572,-6.259340030723873
87,1,new,-6.501293632277928,-6.283297430331947
88,1,told,-6.950667204899622,-6.285055981739156
89,1,or,-6.057013819954255,-6.30955500222748
90,1,over,-6.534319850674276,-6.349389179124447
91,1,could,-6.927166761978219,-6.392442662033247
92,1,two,-7.007020141450754,-6.3972553217176635
93,1,last,-7.078418341016523,-6.4213696827032685
94,1,some,-6.798475389557696,-6.480898082595111
95,1,party,-7.406759262544033,-6.485834244565471
96,1,there,-6.247618316744559,-6.5006814422541765
97,1,washington,-7.294975699477876,-6.513206325827769
98,1,if,-6.152249975425692,-6.523206409162352
99,1,up,-6.2416222536183295,-6.536923736912032
100,1,north,-7.934862156881425,-6.555780361000915
101,1,other,-6.673051132952491,-6.557859123731239
102,1,against,-6.795151286773859,-6.562726441255599
103,1,no,-6.300023452354445,-6.586472708092101
104,1,than,-6.677368251117475,-6.6039938571421395
105,1,security,-7.327218625924096,-6.604841674064479
106,1,minister,-8.977007833881764,-6.617768683346522
107,1,out,-6.062209187628184,-6.634478026871456
108,1,election,-7.0970938504447965,-6.6450176476473395
109,1,when,-6.107661673026737,-6.666564984763214
110,1,into,-6.622276868871314,-6.685692495241124
111,1,republican,-7.4219639935134625,-6.701048899738906
112,1,she,-6.022403974338705,-6.702250261426478
113,1,any,-6.742575629124945,-6.732074893040528
114,1,military,-7.723125044440708,-6.742449147505708
115,1,country,-6.987791383794653,-6.743979795546846
116,1,all,-6.00247916853958,-6.744955065564936
117,1,china,-8.739072265099235,-6.748166237608768
118,1,donald,-6.2646531847325,-6.760690147168832
119,1,former,-6.978712549739159,-6.764378617799714
120,1,russia,-6.860988586062,-6.765231738852453
121,1,percent,-7.929344901506671,-6.7808581768153005
122,1,korea,-8.283860653321819,-6.7889824054550925
123,1,foreign,-7.828050412607752,-6.79629237952653
124,1,tax,-8.136455361634091,-6.800409426953406
125,1,since,-7.302663820816889,-6.801441342722722
126,1,officials,-7.761338989792637,-6.811521475510121
127,1,court,-7.697163906783725,-6.817049240388714
128,1,white,-6.48347833720624,-6.823964481415773
129,1,senate,-7.6890183282130105,-6.844539770994373
130,1,first,-6.775869357224408,-6.8483969076131785
131,1,her,-6.04806497884829,-6.855221813893744
132,1,between,-7.609516599724969,-6.8594330031477
133,1,week,-7.552247191934077,-6.862563876087162
